n_proyecto,cui,direccion,intervenciones,estado,subestado,eje,nota_de_inicio,pase_dgar,inicio_obra,fin_obra,avance_de_obra_real
x127,0200470,MALABIA 2148 GRUPO 4,2do año,Finalizado,finalizado,SDF,-,-,10/12/2022,08/02/2023,100%
x128,0200318,AV. JUJUY 150 GRUPO 5,2do año,Finalizado,finalizado,SDF,-,-,01/12/2022,30/01/2023,100%
x128,0200426,FORMOSA 136 GRUPO 5,2do año,Finalizado,finalizado,SDF,-,-,01/12/2022,30/01/2023,100%
x129,0200385,PADILLA 1051 GRUPO 6,2do año,En Obra,en obra,SDF,NA,NA,17/01/2023,18/03/2023,40%
x129,0200380,AV. RIVADAVIA 5161 GRUPO 6,2do año,En Obra,en obra,SDF,NA,NA,17/01/2023,18/03/2023,45%
x130,0200965,AV.LARRAZABAL 5140 GRUPO 7,2do año,Finalizado,finalizado,SDF,NA,NA,10/01/2023,11/03/2023,100%
x130,0200962,AQUINO 6040 GRUPO 7,2do año,Finalizado,finalizado,SDF,NA,NA,10/01/2023,11/03/2023,100%
x131,0200195,PASEO COLON AV. 650 GRUPO -,2do año,Licitación,433,SDF,NA,26/12/2022,NA,NA,0%
x132,0200832,"MAGARIÑOS CERVANTES, A. 5068 GRUPO -",2do año,Licitación,433,SDF,NA,30/12/2022,NA,NA,0%
x133,0200655,ACASSUSO 6138 ANEXO GRUPO -,2do año,En Obra,en obra,SDF,NA,17/01/2023,15/01/2023,16/03/2023,87%
x134,0200683,AV. DEL CAMPO 1340 GRUPO 8,2do año,En Obra,en obra,SDF,NA,17/01/2023,15/01/2023,16/03/2023,55%
x134,0201864,AV. LACARRA 1151 GRUPO 8,2do año,Finalizado,finalizado,SDF,NA,17/01/2023,15/01/2023,16/03/2023,100%
x135,0200029,AYACUCHO 875 GRUPO -,2do año,Licitación,433,SDF,NA,28/12/2022,NA,NA,30%
x136,0200425,AV.JOSE MARIA MORENO 345 GRUPO 9,3er año,En Obra,en obra,SDF,NA,NA,10/01/2023,11/03/2023,75%
x136,0202188,"LARRALDE, CRISOLOGO AV. 5085 GRUPO 9",3er año,En Obra,en obra,SDF,NA,NA,10/01/2023,11/03/2023,33%
x137,0200795,MANUEL PORCEL DE PERALTA 1437 GRUPO 10,3er año,Finalizado,finalizado,SDF,NA,NA,19/01/2023,20/03/2023,100%
x137,0200679,NICASIO OROÑO 2131 GRUPO 10,3er año,En Obra,en obra,SDF,NA,NA,19/01/2023,20/03/2023,97%
x138,0200964,SOLDADO DE LA FRONTERA AV. 5155 GRUPO 11,3er año,Licitación,esperando documentacion,SDF,NA,NA,NA,NA,DGMESC
x138,0200863,MARTINEZ CASTRO 3067 GRUPO 11,3er año,Licitación,esperando documentacion,SDF,NA,NA,NA,NA,DGMESC
x139,0200949,AV. RIESTRA 5030 GRUPO 12,3er año,En Obra,en obra,SDF,NA,NA,18/01/2023,19/03/2023,75%
x139,0200886,AV. SAENZ 631 GRUPO 12,3er año,En Obra,en obra,SDF,NA,NA,18/01/2023,19/03/2023,75%
x140,0202662,"ALBERDI, JUAN BAUTISTA AV. 4139 GRUPO 13",3er año,En Obra,en obra,SDF,NA,NA,10/01/2023,11/03/2023,75%
x140,0200642,MURGUIONDO 1568 GRUPO 13,3er año,En Obra,en obra,SDF,NA,NA,10/01/2023,11/03/2023,70%
x141,0202584,ZUVIRIA 6550 GRUPO 14,3er año,En Obra,en obra,SDF,NA,NA,NA,03/02/2023,5%
x141,0200098,ECUADOR 1158 GRUPO 14,3er año,En Obra,en obra,SDF,NA,NA,NA,03/02/2023,1%
x142,0200099,"GOMEZ, VALENTIN 3163 GRUPO 15",3er año,En Obra,en obra,SDF,NA,NA,NA,03/02/2023,20%
x142,0200197,"VILLAFAÑE, WENCESLAO 1342 GRUPO 15",3er año,En Obra,en obra,SDF,NA,NA,NA,03/02/2023,20%
x143,0200257,SANTA MAGDALENA 431 GRUPO -,3er año,En Obra,en obra,SDF,NA,NA,22/01/2023,23/03/2023,10%
x144,0200572,"ALBERDI, JUAN BAUTISTA AV. 1845 GRUPO 16",3er año,En Obra,en obra,SDF,NA,NA,10/01/2023,11/03/2023,0%
x144,0200650,Oliden 1245 GRUPO 16,3er año,En Obra,en obra,SDF,NA,NA,NA,28/03/2023,0%
x145,0200871,"AGUSTIN DE VEDIA, 2519 GRUPO 17",3er año,Licitación,esperando documentacion,SDF,NA,NA,NA,NA,0%
x145,0200647,AV. ESCALADA 2890 GRUPO 17,3er año,Licitación,esperando documentacion,SDF,NA,NA,NA,28/02/1900,0%
x148,0202635,VENEZUELA 3259,Instalacion electirca impermeabilizacion,Finalizado,finalizado,Mejora Edilicia,-,7/5/2021,21/9/2021,25/1/2022,100%
x149,0200362,Franklin 1836,Sanitarios. (Fondos covid),Finalizado,finalizado,Mejora Edilicia,NA,NA,3/1/2022,3/4/2022,100%
x150,0200032,PELLEGRINI 1515,Puesta en valor de la escalera,Finalizado,finalizado,Mejora Edilicia,-,NA,20/9/2021,19/11/2021,100%
x151,0202584,ZUVIRIA 6554,"Tanque de bombeo, bombas (fondos covid)",Finalizado,finalizado,Mejora Edilicia,-,NA,10/2/2022,11/4/2022,100%
x152,0202388,AVDA. RIESTRA 3300,Instalacion electrica,Finalizado,finalizado,Mejora Edilicia,-,NA,19/11/2021,17/2/2022,100%
x153,0200196,DON PEDRO DE MENDOZA 1777,"Reparacion de aleros, cubiertas.",Finalizado,finalizado,Mejora Edilicia,-,NA,24/9/2021,23/3/2022,100%
x154,0202395,SIMBRON 5855,Impermeabilizacion,Finalizado,finalizado,Mejora Edilicia,-,18/6/2021,5/10/2021,3/4/2022,100%
x155,0202569,PERU 1357,"Instalacion electrica, ampliacion, mejora edilicia",Finalizado,finalizado,Mejora Edilicia,-,24/6/2021,19/11/2021,19/3/2022,100%
x156,0200299,SAAVEDRA 695,Mejora edilicia en varios sectores,Finalizado,finalizado,Mejora Edilicia,-,NA,23/11/2021,23/3/2022,100%
x157,0200200,PASEO COLON 255 (4to),Conformación de la biblioteca de la universidad de la ciudad,Finalizado,finalizado,Mejora Edilicia,-,NA,4/1/2022,5/3/2022,100%
x159,0202678,LETONIA Y ANTARTIDA ARGENTINA,"Obra en escuela temporaria de la media, se desafecta el edificio y paso a justicia",Finalizado,finalizado,Mejora Edilicia,NA,NA,NA,NA,100%
x160,0200405,ASAMBLEA 1221,Acondicionamiento de patio,Finalizado,finalizado,Mejora Edilicia,NA,NA,NA,NA,100%
x161,0200443,SCALABRINI ORTIZ 1336,Sanitario e impermeabilizacion,Finalizado,finalizado,Mejora Edilicia,NA,NA,NA,NA,100%
x162,0200643,PIO COLLIVADINO 436,Reparacion de medianera,Finalizado,finalizado,Mejora Edilicia,NA,NA,NA,NA,100%
x163,0200311,JUAN DE GARAY 3972,Pintura y acondicionamiento de patio,Finalizado,finalizado,Mejora Edilicia,NA,NA,NA,NA,100%
x164,0202662,ALBERDI 4139,"Trabajos en  medianeras, subsuelo por filtraciones",Finalizado,finalizado,Mejora Edilicia,-,NA,20/5/2022,17/10/2022,100%
x165,0200255,Jose A. Cortejarena 3350,Sanitarios. (Fondos covid),Finalizado,finalizado,Mejora Edilicia,NA,NA,24/5/2022,25/8/2022,100%
x166,0200244,Lynch 3536,Sanitarios. (Fondos covid),Finalizado,finalizado,Mejora Edilicia,NA,NA,21/6/2022,19/9/2022,100%
x167,0200529,NUÑEZ 3638,"Restauracion de fachadas, humedades de cimientos, instalacion electrica completa",Finalizado,neutralizada,Mejora Edilicia,-,NA,1/11/2021,12/11/2022,100%
x168,0200312,RONDEAU 2751,Restauracion de cielorrasos de sector pileta,Finalizado,finalizado,Mejora Edilicia,-,NA,16/9/2021,14/1/2022,100%
x169,0200832,ALEJANDRO MAGARIÑOS CERVANTES 5068,"Instalacion electrica completa, sanitarios",Finalizado,neutralizada,Mejora Edilicia,-,NA,5/10/2021,22/9/2022,100%
x171,0200426,FORMOSA 136,"Accesibilidad, ascensor. (amparo)",Finalizado,finalizado,Mejora Edilicia,-,NA,27/9/2021,25/4/2022,100%
x172,0200200,PASEO COLON 255 (5to),Conformacion de 4 aulas y apoyo administrativo,Finalizado,finalizado,Mejora Edilicia,-,NA,21/6/2022,20/8/2022,100%
x173,0200100,JERONIMO SALGUERO 920,"Mejora edilicia, sanitarios, talleres.",Finalizado,neutralizada,Mejora Edilicia,-,NA,18/11/2021,7/1/2023,100%
x174,0200427,AVDA. RIVADAVIA 4950,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada",Finalizado,neutralizada,Mejora Edilicia,-,NA,17/11/2021,13/9/2022,100%
x175,00000PQ,PARQUE DE LA CIUDAD,"Obra nueva, pileta",Finalizado,neutralizada,Mejora Edilicia,-,NA,25/11/2021,24/5/2022,100%
x176,0200016,AYACUCHO 1849,NA,Finalizado,en obra,Mejora Edilicia,NA,NA,6/10/2022,03/03/2023,31%
x177,0200635,SAN PEDRO 4457,NA,Finalizado,finalizado,Mejora Edilicia,NA,NA,27/7/2022,-,100%
x178,0200420,QUITO 4043,Mejoramiento edilicio e instalación eléctrica,En Obra,en obra,Mejora Edilicia,1/12/2021,12/7/2022,30/1/2023,25/5/2023,42%
x179,0200079,DR. TOMAS MANUEL DE ANCHORENA 441,Adecuacion inst y pintura,Licitación,f14 - dgar,Mejora Edilicia,-,11/7/2022,8/11/2022,8/11/2022,1%
x180,0200026,ESMERALDA 285 CAF,"Restauracion de fachadas, refacciones generales de cielorrasos, pisos, sala
De cooperadora y sala docente , inst eléctrica, sanitarios",En Obra,en obra,Mejora Edilicia,-,16/5/2022,20/1/2023,26/11/2023,0%
x181,0200641,ACASSUSO 5860 sede ACASSUSO 6138 anexo,"Sede: sanitarios a nuevos, impermeabilizaciones, pintura (20mm), reparaciones varias, adecuacion de carpinterias, ie completa y cambio e canaletas y sesagues pluviales.  anexo: solado de los balcones, bicicletero, cortinas roller, adecuacion en sala de musica, pintura y arreglo de fachada, reparacion de carpinterias, patio: demarcacion de canchas, pintura y cerco de alambre. refuncionalizacion de sala de tanque. ie completa.",En Proyecto,en proyecto/instalaciones,Mejora Edilicia,03/11/2022,22/5/2023,19/9/2023,15/6/2024,NA
x182,0200711,VALDENEGRO 3525,"Obra rescindida: trabajos de ampliación edilicia, medios de salida y pintura integral de fachadas",Finalizado,finalizado,Mejora Edilicia,19/8/2021,NA,17/01/2022,17/05/2022,100%
x183,0200607,LA PORTEÑA 54 - YERBAL 2750,"Obra nueva, ampliación de la porteña 54  ( 9 aulas)",En Obra,en obra,Mejora Edilicia,21/03/2022,29/8/2022,20/1/2023,14/2/2024,1%
x184,0200396,NATATORIO YERBAL 25,Puesta en funcionamiento de la plieta y accesibilidad,En Proyecto,corporacion sur,CORP SUR,01/12/2022,08/03/2023,06/07/2023,NA,NA
x188,0200505,Barrio 31- Indira Gandhi,Obra nueva primaria -ajustes por cambio de terreno-,En Obra,en obra,OBRA NUEVA,28/7/2021,23/9/2022,1/2/2023,26/4/2024,0%
x189,0200381,Gral. MARTIN DE GAINZA 1050,NA,En Obra,en obra,Mejora Edilicia,4/11/2021,12/8/2022,19/1/2023,15/11/2023,0%
x191,0200381,Gral. MARTIN DE GAINZA 1050 (433),Imperbeabilizacion de un sector de azotea,Finalizado,finalizado,Mejora Edilicia,NA,NA,27/5/2023,#REF!,100%
