n_proyecto,direccion,cui,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x098,roosevelt 1510,0200516,"Accesibilidad plena (ascensor en patio de planta baja), reutilizacion pb para conformar un aula y acondicionar baño de discapacitado (no funciona griferia y falta timbre) / amparo",NA,53535914,En Obra,en obra,f11,02/02/2023,10/07/2023,240,NA,0%,6/3/2024,ex-2023-05772934-gcaba-dginfe,mejora edilicia
x099,bahia blanca 4025,0200801,"Refuncionalizacion edilicia: casa del casero en oficinas de la supervision. accesibilidad basica, instalacion electrica completa, sanitaria y termomecanica.",$ 50.000.000,52013533,En Obra,en obra,f11,17/04/2023,20/08/2023,180,NA,0%,16/2/2024,ex-2023-14032175- -gcaba-dginfe,mejora edilicia
x100,villa olimpica - jose benjamin zubiaur 4180 y 23 de junio 4155,0000000,"Sistema de alarma primaria, limpieza de terreno y cortinas. ver posibilidad de incorporar mas tareas.",$ 70.000.000,414271095,Licitación,licitación,f11,17/06/2023,01/11/2023,300,x,NA,27/8/2024,ex-2023-22595375- -gcaba-dginfe,mejora edilicia
x102,lamadrid 499,0200179,"Historica. fachada, patio, instalacion electrica,carpinterias,sanitarios y pintura
Requiere refuncionalización vivienda casera",$ 79.000.000,NA,En Proyecto,en proyecto,f11,24/03/2024,22/7/2024,270,x,NA,18/4/2025,NA,mejora edilicia
x103,lacarra 1151 y avda. francisco bilbao,0201864,"Fachadas exteriores (desprendimiento de pintura y revoques), humedad en subsuelo y levantamiento de solado, aulas en mal estado (placas de cielorraso faltantes, pinturas con grafitis), patio cubierto con filtración por cubierta de vidrio. baños: filtración, faltante de cerámicos y artefactos de luz. pintura en general.",NA,270975545,En Proyecto,cyp,f11,18/10/2023,15/02/2024,330,x,NA,10/01/2025,NA,mejora edilicia
x103,lacarra 1151 y avda. francisco bilbao,0201864,"Fachadas exteriores (desprendimiento de pintura y revoques), humedad en subsuelo y levantamiento de solado, aulas en mal estado (placas de cielorraso faltantes, pinturas con grafitis), patio cubierto con filtración por cubierta de vidrio. baños: filtración, faltante de cerámicos y artefactos de luz. pintura en general.",NA,NA,Licitación,fracasada r,f11,10/05/2023,-,330,x,NA, - ,ex-2023-16512639- -gcaba-dginfe,mejora edilicia
x104,luis viale 1052,0200369,"Demolicion completa de contruccion en patio y trabajos de retiro de asbesto, accesibilidad  basica, cambio de carpinterias y cubierta  de galeria y paso que da al patio, nuevo nucleo sanitario en donde funcionaba la sala de maestro y sanitario adjunto. demolicion de sanitarios en sum. demolicion de parrilla y armado de lugar para gimnacio.  puesta en valor de sanitarios existentes y sala de auxiliares. instalacion sanitaria (cambio de tanque bombeo) y adecuacion de instalacion electrica. refuncionalizar casa del casero: cambio de cielorraso, puesta en valor del santario, cambio de carpinterias. completamiento de medianera y arreglo de muro existente.",$ 18.000.000,182030051,Licitación,licitación,f11,10/10/2023,07/02/2024,300,x,NA,3/12/2024,ex-2023-36038831- -gcaba-dginfe,mejora edilicia
x105,gral urquiza 277,0200304,Casa de casero,NA,14818335,En Obra,en obra,f11,17/03/2023,01/09/2023,120,NA,0%,30/12/2023,ex-2023-11120643-gcaba-dginfe,mejora edilicia
x106,jose cubas 4440,0200746,"Ie completa, accesibildiad (solo baño de discapacitados), impermeabilizacion, pintura y puesta envalor de casa del casero para uso administrativo.",$ 45.000.000,133643145,Licitación,licitación,f11,26/08/2023,03/01/2024,180,x,NA,1/7/2024,ex-2023- 33125064  - -gcaba-dginfe,mejora edilicia
x107,tamborini 3948 - plani,0200720,"Sanitarios, revoques, patios y pintura.",NA,60242413,En Obra,en obra,f11,08/02/2023,22/06/2023,180,NA,68%,19/12/2023,ex-2023-06139963-gcaba-dginfe,mejora edilicia
x108,libertador 4777,0200444,Electrica e incendio / amparo,NA,16554167,En Obra,en obra,f11,19/01/2023,04/07/2023,90,NA,75%,2/10/2023,ex-2023-04145885-gcaba-dginfe,mejora edilicia
x109,ayacucho 1849,0200016,Instalacion electrica,NA,94436192,Licitación,licitación,f11,01/08/2023,20/11/2023,120,x,NA,19/3/2024,ex-2023-28479219- -gcaba-dginfe,mejora edilicia
x110,carabobo 253,0200563,Acondicionamiento de sanitarios pb y 1er. pintura. provision de piletones de acero inx. acondicionamiento de solado en expansion descubierta del 2do piso. creacion de sanitario para disca en pb. rearmado de locales con tabiqueria en area de  pb. colocacion de montaescalera en acceso (pb).,$ 55.000.000,35559575,En Obra,en obra,f11,17/04/2023,15/08/2023,150,NA,0%,12/1/2024,ex-2023-12513527- -gcaba-dginfe,mejora edilicia
x111,planetario asesoria,00000gg,Asesoría,-,NA,En Proyecto,en proyecto,f11,23/06/2023,21/10/2023,210,NA,NA, - ,NA,obra nueva
x112,gurruchaga  739,0200441,Instalacion electrica,NA,162327060,Licitación,licitación,f11,05/07/2023,10/11/2023,180,NA,NA,8/5/2024,ex-2023-25122380- -gcaba-dginfe,mejora edilicia
x113,rio de janeiro 986,0200080,"Acc. plena, pintura y adecuacion de instalacion electrica",$ 60.000.000,138330209,Licitación,licitación,f11,02/08/2023,30/11/2023,300,x,NA,25/9/2024,ex-2023-26981432- -gcaba-dginfe,mejora edilicia
x114,av. roca 6902 - autodromo,00000au,"Demolicion de mamposterias, tabiques, pisos y canteros. proveer y colocar reja de proteccion en las ventanas de aula y oficina. ejecucion de contrapiso, carpeta y solado en sector terraza. ejecucion de canteros. provision y colocacion de lockers. instalacion sanitaria: instalación y colocación de nuevos inodoros pedestal, cambio de placas afectadas por humedad, proveer y colocar accesorios y espejos en los sanitarios.",NA,16136338,Finalizado,finalizado,f11,26/01/2023,15/06/2023,90,NA,60%,13/9/2023,ex-2023-05133376-gcaba-dginfe,mejora edilicia
x115,zapata 449,0200442,"Impermeabilizacion, instalación pluvial y pintura",NA,21196326,Finalizado,finalizado,f11,-,20/05/2022,150,30,100%,16/11/2022,NA,mejora edilicia
x116,juncal 690 y basavilbaso 1295,0200006,"Reparacion de cubiertas (inicial y primaria), acc basica (montasilla y baño de disca), pintura general - instalacion electrica de la inicial - sector de sombras inicial y primaria - solado de patio de la primaria e inicial - recambio de carpinterias y colocacion de rejas - evaluacion de instalacion sanitaria + ee: remediacion de rejas",-,629566069,Licitación,licitación,f11,02/08/2023,2/1/2024,365,x,NA, - ,ex-2023-26683610- -gcaba-dginfe,mejora edilicia
x117,estacion buenos aires primaria,00000eb,"Creacion de una escuela con 14 aulas comunes, 1 aula de música, 1 aula de
Plástica, 1 aula laboratorio y un espacio para biblioteca.
Además la escuela contara con un s.u.m. cubierto, comedor independiente para la
Población de la escuela, cocina y el área de gestión administrativa completa.",NA,1000867656,En Obra,en obra,f11,25/11/2022,12/07/2023,540,NA,0%,2/1/2025,ex-2022-43300270-gcaba-dginfe,obra nueva
x118,doblas 1768,0000000,"Polideportivo contempla la construcción de un volumen de apoyo y servicios, un área de cancha cubierta con estructura liviana de chapa y un área de cancha descubierta de verde que permite terreno absorbente en pulmón de manzana.
",NA,104310536,En Obra,en obra,f11,15/07/2022,20/01/2023,300,NA,21%,30/1/2024,ex-2022-25270542-gcaba-dginfe,obra nueva
x119,avda. juan bautista alberdi 4139,0202662,Reparacion de revoques de fachada de cajaravilla,NA,NA,En Proyecto,en proyecto,433,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x121,"quinquela martin, benito 1649 grupo -",0200193,2do año,NA,16847977,Finalizado,finalizado,f11,NA,28/12/2022,90,NA,100%, - ,NA,sdf
x122,av. gaona 1502 grupo -,0200382,2do año,NA,21328799,En Obra,en obra,f11,NA,17/02/2023,90,NA,90%, - ,NA,sdf
x123,av. cramer 2136 grupo 1,0200527,2do año,NA,NA,Finalizado,finalizado,f11,NA,dgmesc,90,NA,dgmesc, - ,ex-2022-30146484- -gcaba-dginfe,sdf
x123,"cnel. falcon, ramon l.,2248 grupo 1",0200571,2do año,NA,NA,Finalizado,finalizado,f11,NA,dgmesc,90,NA,dgmesc, - ,ex-2022-30146484- -gcaba-dginfe,sdf
x123,pumacahua 390 grupo 1,0200575,2do año,NA,12251853,Finalizado,finalizado,f11,NA,dgmesc,90,NA,dgmesc, - ,ex-2022-30146484- -gcaba-dginfe,sdf
x124,callao av. 450 grupo 2,0200030,2do año,NA,10995542,Finalizado,finalizado,f11,NA,22/02/2023,60,NA,100%, - ,NA,sdf
x124,libertad 1257 grupo 2,0200022,2do año,NA,NA,Finalizado,finalizado,f11,NA,22/02/2023,60,NA,100%, - ,NA,sdf
x125,"chilavert, martiniano, coronel 5460 grupo -",0200963,2do año,NA,10987525,Finalizado,finalizado,f11,NA,03/01/2023,60,NA,100%, - ,NA,sdf
x126,gallardo 149 grupo 3,0200827,2do año,NA,10495552,Finalizado,finalizado,f11,NA,22/01/2023,60,NA,100%,4/4/2023,NA,sdf
x126,moron 4149 grupo 3,0200839,2do año,NA,NA,Finalizado,finalizado,f11,NA,22/01/2023,60,NA,100%,23/3/2023,NA,sdf
x127,cochabamba 2830 grupo 4,0200319,2do año,NA,10389408,Finalizado,finalizado,f11,-,10/12/2022,60,NA,100%,8/2/2023,NA,sdf
x127,malabia 2148 grupo 4,0200470,2do año,NA,NA,Finalizado,finalizado,f11,-,10/12/2022,60,NA,100%,8/2/2023,NA,sdf
x128,av. jujuy 150 grupo 5,0200318,2do año,NA,11032939,Finalizado,finalizado,f11,-,01/12/2022,60,NA,100%,30/1/2023,NA,sdf
x128,formosa 136 grupo 5,0200426,2do año,NA,NA,Finalizado,finalizado,f11,-,01/12/2022,60,NA,100%,30/1/2023,NA,sdf
x129,av. rivadavia 5161 grupo 6,0200380,2do año,NA,NA,Finalizado,finalizado,f11,NA,17/01/2023,60,NA,100%,18/3/2023,NA,sdf
x129,padilla 1051 grupo 6,0200385,2do año,NA,10478388,Finalizado,finalizado,f11,NA,17/01/2023,60,NA,100%,18/3/2023,NA,sdf
x130,aquino 6040 grupo 7,0200962,2do año,NA,NA,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%,11/3/2023,NA,sdf
x130,av.larrazabal 5140 grupo 7,0200965,2do año,NA,12078433,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%,11/3/2023,NA,sdf
x131,paseo colon av. 650 grupo -,0200195,2do año,NA,15065382,Finalizado,finalizado,f11,26/12/2022,25/01/2023,60,NA,100%, - ,NA,sdf
x132,magariños cervantes 5068 grupo -,0200832,2do año,NA,4480668,Finalizado,finalizado,f11,30/12/2022,31/1,60,NA,100%,1/4/2023,ex-2022-48280013- -gcaba-dginfe,sdf
x133,acassuso 6138 anexo grupo -,0200655,2do año,NA,9544010,Finalizado,finalizado,f11,17/01/2023,15/01/2023,60,NA,100%,16/3/2023,NA,sdf
x134,av. del campo 1340 grupo 8,0200683,2do año,NA,5828108,Finalizado,finalizado,f11,17/01/2023,15/01/2023,60,NA,100%,16/3/2023,NA,sdf
x134,av. lacarra 1151 grupo 8,0201864,2do año,NA,NA,Finalizado,finalizado,f11,17/01/2023,15/01/2023,60,NA,100%,16/3/2023,NA,sdf
x135,ayacucho 875 grupo -,0200029,2do año,NA,16949483,Finalizado,finalizado,f11,28/12/2022,06/02/2023,60,NA,100%, - ,NA,sdf
x136,av.jose maria moreno 345 grupo 9,0200425,3er año,NA,9183031,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%,11/3/2023,NA,sdf
x136,"larralde, crisologo av. 5085 grupo 9",0202188,3er año,NA,NA,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%,11/3/2023,NA,sdf
x137,manuel porcel de peralta 1437 grupo 10,0200795,3er año,NA,9016883,Finalizado,finalizado,f11,NA,19/01/2023,60,NA,100%,20/3/2023,NA,sdf
x137,nicasio oroño 2131 grupo 10,0200679,3er año,NA,NA,Finalizado,finalizado,f11,NA,19/01/2023,60,NA,100%,20/3/2023,NA,sdf
x138,martinez castro 3067 grupo 11,0200863,3er año,NA,NA,Finalizado,finalizado,f11,NA,dgmesc,60,NA,dgmesc, - ,NA,sdf
x138,soldado de la frontera av. 5155 grupo 11,0200964,3er año,NA,10448171,Finalizado,finalizado,f11,NA,dgmesc,60,NA,dgmesc, - ,NA,sdf
x139,av. riestra 5030 grupo 12,0200949,3er año,NA,6561356,Finalizado,finalizado,f11,NA,18/01/2023,60,NA,100%,19/3/2023,NA,sdf
x139,av. saenz 631 grupo 12,0200886,3er año,NA,NA,Finalizado,finalizado,f11,NA,18/01/2023,60,NA,100%,19/3/2023,NA,sdf
x140,"alberdi, juan bautista av. 4139 grupo 13",0202662,3er año,NA,7291811,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%,11/3/2023,NA,sdf
x140,murguiondo 1568 grupo 13,0200642,3er año,NA,NA,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%,11/3/2023,NA,sdf
x141,ecuador 1158 grupo 14,0200098,3er año,NA,NA,Finalizado,finalizado,f11,NA,03/02/2023,60,NA,100%,4/4/2023,NA,sdf
x141,zuviria 6550 grupo 14,0202584,3er año,NA,10558870,Finalizado,finalizado,f11,NA,03/02/2023,60,NA,100%, - ,NA,sdf
x142,"gomez, valentin 3163 grupo 15",0200099,3er año,NA,9961270,Finalizado,finalizado,f11,NA,03/02/2023,60,NA,100%,4/4/2023,NA,sdf
x142,"villafañe, wenceslao 1342 grupo 15",0200197,3er año,NA,NA,Finalizado,finalizado,f11,NA,03/02/2023,60,NA,100%,4/4/2023,NA,sdf
x143,santa magdalena 431 grupo -,0200257,3er año,NA,10865886,Finalizado,finalizado,f11,NA,22/01/2023,60,NA,100%, - ,NA,sdf
x144,"alberdi, juan bautista av. 1845 grupo 16",0200572,3er año,NA,9031814,Finalizado,finalizado,f11,NA,10/01/2023,60,NA,100%, - ,NA,sdf
x144,oliden 1245 grupo 16,0200650,3er año,NA,NA,Finalizado,finalizado,f11,NA,01/03/2023,60,NA,100%, - ,NA,sdf
x145,"agustin de vedia, 2519 grupo 17",0200871,3er año,NA,10450124,En Obra,en obra,f11,NA,Sin fecha de inicio,60,NA,90%, - ,NA,sdf
x145,av. escalada 2890 grupo 17,0200647,3er año,NA,NA,En Obra,en obra,f11,NA,Sin fecha de inicio,60,NA,90%, - ,NA,sdf
x146,avda. martin garcia 874,0000000,Obra nueva,NA,NA,En Obra,en obra,f11,NA,15/03/2021,720,100,67%,23/11/2023,NA,obra nueva
x147,lope de vega y murature,0000000,Obra nueva,NA,NA,En Obra,en obra,f11,NA,25/11/2021,450,75,76%,30/10/2023,NA,obra nueva
x148,venezuela 3259,0202635,Instalacion electirca impermeabilizacion,NA,10721309,Finalizado,finalizado,f11,7/5/2021,21/9/2021,120,NA,100%,25/1/2022,NA,mejora edilicia
x149,franklin 1836,0200362,Sanitarios. (fondos covid),NA,5455138,Finalizado,finalizado,f14 (covid),NA,3/1/2022,90,NA,100%,3/4/2022,NA,mejora edilicia
x150,pellegrini 1515,0200032,Puesta en valor de la escalera,NA,NA,Finalizado,finalizado,f11,NA,20/9/2021,60,NA,100%,19/11/2021,NA,mejora edilicia
x151,zuviria 6554,0202584,"Tanque de bombeo, bombas (fondos covid)",NA,6266250,Finalizado,finalizado,f11,NA,10/2/2022,60,NA,100%,11/4/2022,NA,mejora edilicia
x152,avda. riestra 3300,0202388,Instalacion electrica,NA,4194032,Finalizado,finalizado,f11,NA,19/11/2021,90,NA,100%,17/2/2022,NA,mejora edilicia
x153,don pedro de mendoza 1777,0200196,"Reparacion de aleros, cubiertas.",NA,20615534,Finalizado,finalizado,f11,NA,24/9/2021,180,NA,100%,23/3/2022,NA,mejora edilicia
x154,simbron 5855,0202395,Impermeabilizacion,NA,26245160,Finalizado,finalizado,f11,18/6/2021,5/10/2021,180,NA,100%,3/4/2022,NA,mejora edilicia
x155,peru 1357,0202569,"Instalacion electrica, ampliacion, mejora edilicia",NA,37437202,Finalizado,finalizado,f11,24/6/2021,19/11/2021,120,NA,100%,19/3/2022,NA,mejora edilicia
x156,saavedra 695,0200299,Mejora edilicia en varios sectores,NA,19393947,Finalizado,finalizado,f11,NA,23/11/2021,120,NA,100%,23/3/2022,NA,mejora edilicia
x157,paseo colon 255 (4to),0200200,Conformación de la biblioteca de la universidad de la ciudad,NA,8993290,Finalizado,finalizado,f11,NA,4/1/2022,60,NA,100%,5/3/2022,NA,mejora edilicia
x159,letonia y antartida argentina,0202678,"Obra en escuela temporaria de la media, se desafecta el edificio y paso a justicia",NA,3543233,Finalizado,finalizado,f11,NA,Sin fecha de inicio,75,NA,100%, - ,NA,mejora edilicia
x160,asamblea 1221,0200405,Acondicionamiento de patio,NA,11916990,Finalizado,finalizado,f11,NA,Sin fecha de inicio,150,NA,100%, - ,NA,mejora edilicia
x161,scalabrini ortiz 1336,0200443,Sanitario e impermeabilizacion,NA,3377362,Finalizado,finalizado,f11,NA,Sin fecha de inicio,90,NA,100%, - ,NA,mejora edilicia
x162,pio collivadino 436,0200643,Reparacion de medianera,NA,3194103,Finalizado,finalizado,f11,NA,Sin fecha de inicio,Sin plazo,NA,100%, - ,NA,mejora edilicia
x163,juan de garay 3972,0200311,Pintura y acondicionamiento de patio,NA,21902996,Finalizado,finalizado,f11,NA,Sin fecha de inicio,150,NA,100%, - ,NA,mejora edilicia
x164,alberdi 4139,0202662,"Trabajos en  medianeras, subsuelo por filtraciones",NA,21196325,Finalizado,finalizado,f11,NA,20/5/2022,150,NA,100%,17/10/2022,NA,mejora edilicia
x165,jose a. cortejarena 3350,0200255,Sanitarios. (fondos covid),NA,5956117,Finalizado,finalizado,f14 (covid),NA,24/5/2022,90,NA,100%,25/8/2022,NA,mejora edilicia
x166,lynch 3536,0200244,Sanitarios. (fondos covid),NA,3630761,Finalizado,finalizado,f14 (covid),NA,21/6/2022,90,NA,100%,19/9/2022,NA,mejora edilicia
x167,nuñez 3638,0200529,"Restauracion de fachadas, humedades de cimientos, instalacion electrica completa",NA,31955000,Finalizado,neutralizada,f11,NA,1/11/2021,210,166,100%,12/11/2022,NA,mejora edilicia
x168,rondeau 2751,0200312,Restauracion de cielorrasos de sector pileta,NA,6373844,Finalizado,finalizado,f11,NA,16/9/2021,120,NA,100%,14/1/2022,NA,mejora edilicia
x169,magariños cervantes 5068,0200832,"Instalacion electrica completa, sanitarios",NA,44077559,Finalizado,neutralizada,f11,5/10/2021,5/10/2021,180,172,100%,22/9/2022,ex-2021-08719202- -gcaba-dginfe,mejora edilicia
x170,planetario,00000gg,"Instalacion de caldera electrica, tendido electrico al edificio desde ct",NA,19209834,Finalizado,neutralizada,f11,NA,01/10/2021,90,187,100%,5/7/2022,NA,mejora edilicia
x171,formosa 136,0200426,"Accesibilidad, ascensor. (amparo)",NA,25771052,Finalizado,finalizado,f11,NA,27/9/2021,210,NA,100%,25/4/2022,NA,mejora edilicia
x172,paseo colon 255 (5to),0200200,Conformacion de 4 aulas y apoyo administrativo,NA,13195684,Finalizado,finalizado,f11,NA,21/6/2022,60,NA,100%,20/8/2022,NA,mejora edilicia
x173,jeronimo salguero 920,0200100,"Mejora edilicia, sanitarios, talleres.",NA,71082274,Finalizado,neutralizada,f11,NA,18/11/2021,365,50,100%,7/1/2023,NA,mejora edilicia
x173,jeronimo salguero 920,0200100,Puesta en funcionamineot de la calefaccion,NA,NA,Planificado,planificado,f11,11/1/1900,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,433
x174,avda. rivadavia 4950,0200427,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada",NA,113225803,Finalizado,neutralizada,f11,NA,17/11/2021,210,NA,100%,13/9/2022,NA,mejora edilicia
x175,parque de la ciudad -  avda. f.f. de la cruz s/n,00000pq,"Obra nueva, pileta",NA,84449064,Finalizado,neutralizada,f11,NA,25/11/2021,120,60,100%,24/5/2022,NA,mejora edilicia
x176,ayacucho 1849,0200016,Sanitarios ( covid),NA,3666231,Finalizado,finalizado,f14,NA,6/10/2022,90,NA,100%,03/03/2023,NA,mejora edilicia
x177,san pedro 4457,0200635,Rehabilitación de núcleo sanitario de pb.,NA,2663284,Finalizado,finalizado,f14 (covid),NA,27/7/2022,90,NA,100%, - ,NA,mejora edilicia
x178,quito 4043,0200420,Mejoramiento edilicio e instalación eléctrica,NA,25301985,Finalizado,finalizado,f14,12/7/2022,30/1/2023,120,NA,100%,11/7/2023,NA,mejora edilicia
x179,dr. tomas manuel de anchorena 441,0200079,Adecuacion inst y pintura,NA,20773909,Finalizado,finalizado,f14,11/7/2022,8/2/2023,180,NA,52%,7/8/2023,NA,mejora edilicia
x180,esmeralda 285 caf,0200026,"Restauracion de fachadas, refacciones generales de cielorrasos, pisos, sala
De cooperadora y sala docente , inst eléctrica, sanitarios",NA,63582703,En Obra,en obra,f14,16/5/2022,20/1/2023,310,NA,32%,30/12/2023,NA,mejora edilicia
x181,acassuso 5860 sede,0200641,"Sede: sanitarios a nuevos, impermeabilizaciones, pintura (20mm), reparaciones varias, adecuacion de carpinterias, ie completa y cambio e canaletas y sesagues pluviales.  anexo: solado de los balcones, bicicletero, cortinas roller, adecuacion en sala de musica, pintura y arreglo de fachada, reparacion de carpinterias, patio: demarcacion de canchas, pintura y cerco de alambre. refuncionalizacion de sala de tanque. ie completa.",$ 65.000.000,255322876,Licitación,licitación,f11,1/10/2023,29/1/2024,270,x,NA,25/10/2024,ex-2023-27692680- -gcaba-dginfe,mejora edilicia
x181,acassuso 6138 anexo,0200641,"Sede: sanitarios a nuevos, impermeabilizaciones, pintura (20mm), reparaciones varias, adecuacion de carpinterias, ie completa y cambio e canaletas y sesagues pluviales.  anexo: solado de los balcones, bicicletero, cortinas roller, adecuacion en sala de musica, pintura y arreglo de fachada, reparacion de carpinterias, patio: demarcacion de canchas, pintura y cerco de alambre. refuncionalizacion de sala de tanque. ie completa.",$ 65.000.000,255322876,Licitación,licitación,f11,1/10/2023,29/1/2024,270,x,NA,25/10/2024,ex-2023-27692680- -gcaba-dginfe,mejora edilicia
x182,valdenegro 3525,0200711,"Obra rescindida: trabajos de ampliación edilicia, medios de salida y pintura integral de fachadas",NA,NA,Finalizado,finalizado,f14,NA,17/01/2022,120,NA,100%,17/05/2022,NA,mejora edilicia
x183,la porteña 54 - yerbal 2750,0200607,"Obra nueva, ampliación de la porteña 54  ( 9 aulas)",NA,346164000,En Obra,en obra,f11,29/8/2022,20/1/2023,390,NA,19%,30/03/2024,ex-2022-29273889- -gcaba-dginfe,mejora edilicia
x184,natatorio yerbal 25,0200396,Puesta en funcionamiento de la plieta y accesibilidad,$ 50.000.000,NA,Licitación,licitación,corporacion sur,18/02/1900,18/06/1900,210,x,NA, - ,NA,mejora edilicia
x185,varela 1802   -daom,0000000,"Cancha de futbol 5, sintetico, 8 luminarias, acceso independiente desde av varela.",40000000,82751565,Licitación,licitación,corporacion sur,08/12/2022,07/04/2023,120,x,NA, - ,NA,mejora edilicia
x186,escalada 2890,0200647,"Construcción de 4 aulas modulares en steel frame, adecuaciones en: vivienda casero, sala profesores y preceptores.",NA,98455725,Licitación,licitación,corporacion sur,11/04/2023,01/07/2023,Sin plazo,x,NA,1/7/2023,no-2023-13357334-gcaba-cbas,mejora edilicia
x187,cañada de gomez 3859,0200927,Incorporacion de dos aulas de steel frame y nucleo sanitarios. traslado de mastil.,NA,65063396,Licitación,licitación,corporacion sur,11/04/2023,01/07/2023,Sin plazo,x,NA, - ,no-2023-13587403-gcaba-cbas,mejora edilicia
x188,barrio 31 - indira gandhi,0200505,Obra nueva primaria -ajustes por cambio de terreno-,NA,1171064451,En Obra,en obra,f11,23/9/2022,1/2/2023,450,NA,14%,24/6/2024,ex-2022-34026657- -gcaba-dginfe,obra nueva
x189,gral. martin de gainza 1050,0200381,"Impermeabilización de las azoteas, cubierta tipo shed de los talleres y
Laboratorios. instalaciones eléctrica, sanitaria, contra incendio, termomecánica y la reparación –
Puesta en norma del ascensor.",NA,405359455,En Obra,en obra,f11,12/8/2022,19/1/2023,330,NA,54%,15/12/2023,NA,mejora edilicia
x191,gral. martin de gainza 1050 (433),0200381,Imperbeabilizacion de un sector de azotea,NA,NA,Finalizado,finalizado,f11,NA,18/10/2022,-,NA,100%, - ,NA,mejora edilicia
x192,libertador 8635,0200528,"Accesibilidad: ejecución de ascensor y sala de maquina (exterior), adecuación de rampa existente y adecuación de sanitario pcd existente. instalacion electrica completa. istalacion pluvial en campo de depoertes para que no se inunde sector de canchas lugones.mejora edilicia: pintura de aulas de pb del edificio nuevo (pisos superiores dgmesc), revoque y pintura en circulación de edificio histórico pb y 1er piso. revoque, pintura y solados en circulación entre talleres. mejoras de marcos de carpinterías.
Reja de seguridad con concertina superior en fuelle entre el pasadizo de ascensor y edificio existente. (para evitar que alguien ingrese por libertador y se esconda en ese espacio)
Reja de seguridad corrediza para proteger sector de bicicletas. (se retira reja deteriorada con ubicación actual para generar el playón de acceso al ascensor)
Mejoras en escalera exterior en taller de informática en área del fondo.( necesita pasamanos adecuados en ambos laterales, pintura de solado y reemplazo de cintas antideslizantes, ya que se han tropezado alumnos según se nos informó).
Ampliación de taller de carpintería (ee timm), nueva aula en primer piso del taller.
",$ 250.000.000,NA,En Proyecto,cyp,f11,05/11/2023,04/03/2024,365,30,NA,3/4/2025,NA,mejora edilicia
x194,loyola 1500,0200469,"Itsf, acondicionamiento de taller en estudio de grabacion",-,105585968,Licitación,licitación,f11,28/8/2023,26/12/2023,180,NA,NA,23/6/2024,ex-2023- 32022521 - -gcaba-dginfe,obra nueva
x198,gregorio araoz de lamadrid 676,0200191,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,mejora edilicia
x199,sarmiento 4041,0200105,Solado de madera del gimnasio y revoques,-,85031910,Licitación,licitación,f11,17/08/2023,15/12/2023,150,x,NA, - ,ex-2023- 28872808  - -gcaba-dginfe,mejora edilicia
x200,santo domingo 4050,0202688,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,mejora edilicia
x201,terrada 3983,0200743,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,mejora edilicia
x204,san juan 1545,0200137,"Impermeabilizacion de todas las terrazas y cubiertas. tratamiento de patologias estructurales, hierros expuestos. tratamiento de humedad de cimientos. optimizacion en instalaciones pluvial.",NA,NA,Finalizado,finalizado,f11,19/04/2022,07/07/2022,120,30,100%,4/12/2022,NA,mejora edilicia
x206,gregorio araoz de lamadrid 648,0200178,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,obra nueva
x207,av. eva peron 7449,0202779,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,obra nueva
x208,pichincha 1152/54,0202773,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,obra nueva
x209,mercedes 1405,0200593,Espacio de sombra - impermeabilizacion,-,56224828,Licitación,licitación,f11,3/8/2023,1/12/2023,120,x,NA,30/3/2024,ex-2023-30132698- -gcaba-dginfe,mejora edilicia
x210,11 de septiembre de 1888 3451,0200504,"Historica, arreglo de carpinterias, fachadas, patios, ie completa, pintura y adecuacion de casa del casero. puesta en valor de sanitarios y fisuras varias. catalogacion -  intervencion en subsuelo por ingreso de agua de napa",-,NA,En Proyecto,en proyecto,f11,26/12/2023,24/4/2024,240,x,NA,20/12/2024,NA,mejora edilicia
x211,combatientes de malvinas 3234,0200661,Instalacion electrica,-,54450127,En Obra,en obra,f11,15/5/2023,1/9/2023,150,x,0%,29/1/2024,ex-2023-17716796- -gcaba-dginfe,mejora edilicia
x212,avda. larrazabal 420,0200907,Instalacion electrica,NA,105886263,Licitación,licitación,f11,27/7/2023,24/11/2023,150,x,NA,22/4/2024,ex-2023-27162670-gcaba-dgienfe,mejora edilicia
