n_proyecto,proy,direccion,cui,intervenciones,presupuesto_estimado,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_plazo,avance_de_obra,fin_obra,eje,ano_plan
x103,x192,libertador 8635,0200528,"Accesibilidad: ejecución de ascensor y sala de maquina (exterior), adecuación de rampa existente y adecuación de sanitario pcd existente.
Mejora edilicia: pintura de aulas de pb del edificio nuevo (pisos superiores dgmesc), revoque y pintura en circulación de edificio histórico pb y 1er piso. revoque, pintura y solados en circulación entre talleres. mejoras de marcos de carpinterías.
Reja de seguridad con concertina superior en fuelle entre el pasadizo de ascensor y edificio existente. (para evitar que alguien ingrese por libertador y se esconda en ese espacio)
Reja de seguridad corrediza para proteger sector de bicicletas. (se retira reja deteriorada con ubicación actual para generar el playón de acceso al ascensor)
Mejoras en escalera exterior en taller de informática en área del fondo.( necesita pasamanos adecuados en ambos laterales, pintura de solado y reemplazo de cintas antideslizantes, ya que se han tropezado alumnos según se nos informó).
Ampliación de taller de carpintería (ee timm), nueva aula en primer piso del taller.
Instalaciones: eléctrica en sector histórico y termomecanica (unificar criterio de calefacción y/o refrigeración para el sector de aulas.)","$1.028.769.718,40",Licitación,licitación,f11,6/11/2023,5/03/2024,365,-,NA,5/03/2025,mejora edilicia,2024 - 2027
x104,x088,avelino diaz 2356,0200568,"Evaluacion estructural de varias fisura (muros de aula, cocina y escaler). expte?
Plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativaspatios amerita mejora en pisos y pintura. humedad ascendente en medianera de aulas y comedor. acondicionamiento de cielorrasos dela circulación del primer piso. acondicionamiento de instalacion electrica y termomecanica. acondicionamiento del sanitarios del piso 1. la accesibilidad si bien es básica amerita resolución de algunos desniveles internos en sus recorridos.","$180.000.000,00",En Proyecto,cyp,f11,17/12/2023,15/04/2024,270,x,NA,10/1/2025,mejora edilicia,2024 - 2027
x105,x209,mercedes 1405,0200593,Espacio de sombra con impermeabilizacion,"$56.224.828,56",En Obra,en obra,f11,3/08/2023,1/12/2023,120,x,0%,30/03/2024,mejora edilicia,2024 - 2027
x106,x101,ex yrurtia  - alberdi 4754,0200625,"Completo o por etapas de obra / acondicionamiento de aulas, sanitarios y pintura general",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,obra nueva,2024 - 2027
x107,x332,rodo 4431,0200638,Instalacion electrica,"$180.000.000,00",Planificado,planificado,f11,28/05/2024,25/09/2024,210,NA,NA, - ,mejora edilicia,2024 - 2027
x108,x235,bruix 4620,0200640,"Adecuación de la instalación eléctrica. acondicionamiento de sanitarios. puesta en valor de carpinterías, parasoles y rejas. fisuras: reparación de mampostería y fisuras en aulas. patios: solados, muros, humedad ascendente. arreglo integral de patio de aire y luz. pintura general.","$285.844.812,90",Licitación,licitación,f11,7/11/2023,6/03/2024,240,x,NA,1/11/2024,mejora edilicia,2024 - 2027
x109,x181,acassuso 5860 sede,0200641,"Sede: sanitarios a nuevos, impermeabilizaciones, pintura (20mm), reparaciones varias, adecuacion de carpinterias, ie completa y cambio e canaletas y sesagues pluviales.","$366.062.846,06",Licitación,licitación,f11,11/11/2023,10/03/2024,270,x,NA,5/12/2024,mejora edilicia,2024 - 2027
x110,x181,acassuso 6138 anexo,0200655,"Anexo: solado de los balcones, bicicletero, cortinas roller, adecuacion en sala de musica, pintura y arreglo de fachada, reparacion de carpinterias, patio: demarcacion de canchas, pintura y cerco de alambre. refuncionalizacion de sala de tanque. ie completa.","$366.062.846,06",Licitación,licitación,f11,11/11/2023,10/03/2024,270,x,NA,5/12/2024,mejora edilicia,2024 - 2027
x111,x211,combatientes de malvinas 3234,0200661,Instalacion electrica,"$ 54.450.127,64",En Obra,en obra,f11,15/05/2023,12/09/2023,150,x,41%,9/02/2024,mejora edilicia,2024 - 2027
x112,x059,fitz roy 171,0200665,"Accesibilidad basica,  cubierta, pintura hall y patio. instalacion electrica completa","$192.720.101,63",Licitación,licitación,f11,18/10/2023,15/02/2024,240,x,NA,12/10/2024,mejora edilicia,2024 - 2027
x113,x021,juramento 4849,0200707,Inst electrica completa,"$107.941.827,74",En Obra,en obra,f11,16/06/2023,14/10/2023,150,-,1%,12/03/2024,mejora edilicia,2024 - 2027
x114,x322,valdenegro 3525,0200711,"Intervención completa de fachadas de valdenegro, incluidas las del contrafrente sobre la calle miller y las caras interiores no contempladas en obra de ampliación nes, patios, reparación de humedades en mamposterías, acondicionamiento de patios, reparación de carpinterías, acondicionamiento de sanitarios de docentes, acondicionamiento de instalación de provisión de agua y reparacion de tanques ( sistema integral para ambas escuelas), revisión de cubiertas e instalación pluvial.
En media pintura general de los sectores requeridos que no hayan sido intervenidos por la obra de ampliación ni por sdf ejecutada por dgmesc.
En primaria pintura integral, acondicionamiento de instalación eléctrica y accesibilidad plena.
","$160.000.000,00",Planificado,planificado,f11,30/08/2024,15/04/2024,300,NA,NA,10/1/2025,mejora edilicia,2024 - 2027
x115,x257,andonaegui 1532,0200723,Amplicacion,"$307.375.179,69",Licitación,licitación,f11,20/09/2023,18/01/2024,365,30,NA,16/2/2025,mejora edilicia,2024 - 2027
x116,x321,valdenegro  3523,0200727,"Intervención completa de fachadas de valdenegro, incluidas las del contrafrente sobre la calle miller y las caras interiores no contempladas en obra de ampliación nes, patios, reparación de humedades en mamposterías, acondicionamiento de patios, reparación de carpinterías, acondicionamiento de sanitarios de docentes, acondicionamiento de instalación de provisión de agua y reparacion de tanques ( sistema integral para ambas escuelas), revisión de cubiertas e instalación pluvial.
En media pintura general de los sectores requeridos que no hayan sido intervenidos por la obra de ampliación ni por sdf ejecutada por dgmesc.
En primaria pintura integral, acondicionamiento de instalación eléctrica y accesibilidad plena.
","$90.000.000,00",Planificado,planificado,f11,29/08/2024,15/04/2024,300,NA,NA,10/1/2025,mejora edilicia,2024 - 2027
x117,x075,quesada 4357,0200729,Acondicionamiento de pisos y cielorraso. revision de instalacion electrica.  provisión de agua. arreglo de revoque en fachada internas. adecuacion de sanitarios. pintura completa. humedad de cimiento sobre medianera. intervencion casa del casero.,"$169.388.578,60",En Obra,en obra,f11,27/07/2023,24/11/2023,240,NA,0%,21/07/2024,mejora edilicia,2024 - 2027
x118,x106,jose cubas 4440,0200746,"Ie completa, accesibildiad (solo baño de discapacitados), impermeabilizacion, pintura y puesta envalor de casa del casero para uso administrativo.","$133.643.145,39",Licitación,licitación,f11,26/08/2023,24/12/2023,180,x,NA,21/06/2024,mejora edilicia,2024 - 2027
x119,x048,vallejos 2555,0200755,"Etapa i2020 adecuacion espacios aulicos y ampliacion comedor pintura, accesibilidad","$210.000.000,00",En Proyecto,en proyecto,f11,23/02/2024,22/06/2024,270,NA,NA,19/03/2025,mejora edilicia,2024 - 2027
x120,x223,franco 2390,0200759,Plan mejora de  fachada+ patio+ carpinteria + sanitario + inst gas + inst electrica+ sanitario+ cubierta + revoques y pintura en areas significativas,"$130.000.000,00",Planificado,planificado,f11,3/06/2024,1/10/2024,300,NA,NA,28/7/2025,mejora edilicia,2024 - 2027
x121,x237,obispo san alberto 2379,0200763,"Plan mejora edif historico adecuacion fachada+ patio+ cielorraso+ carpinteria+ inst gas-calefaccion + inst electrica + acond sanitarios y prov de agua , reparacion revoques y pintura en areas significativas +accesibilidad plena","$270.000.000,00",Planificado,planificado,f11,13/06/2024,11/10/2024,330,NA,NA,6/09/2025,mejora edilicia,2024 - 2027
x122,x069,helguera 2435,0200777,Accesibilidad básica. puesta en valor de carpinterías (algunas sin vidrio de seguridad o policarbonato y elementos corroídos). adecuación de instalación eléctrica. acondicionamiento de la instalación de gas y termomecánic. arreglo de humedad y revoques. pintura,"$293.819.048,18",En Proyecto,en proyecto,f11,9/12/2023,7/04/2024,210,x,NA,3/11/2024,mejora edilicia,2024 - 2027
x123,x378,pedro lozano 3056,0200797,Impermeabilizacion parcial y pintura de cielorrasos. albañileria. reparacion de escaleras. humedad de cimientos.,"$188.184.977,22",En Obra,en obra,f11,3/07/2023,31/10/2023,300,NA,0%, - ,mejora edilicia,2024 - 2027
x124,x246,lascano 4044,0200811,"Adecuacion de patios, arreglo de muros, istalacion de gas y electrica, sanitarios, accesibilidad basica y pintura","$180.000.000,00",En Proyecto,en proyecto,f11,3/01/2024,2/05/2024,270,NA,NA,27/01/2025,mejora edilicia,2024 - 2027
x125,x215,itaqui 2050 / charrua 2850,0200856,"Instalacion electrica, termo, patio (arreglo de sus carpintrerias y muros), fachadas, sellado de lucarnas y pintura","$300.000.000,00",En Proyecto,instalaciones,f11,17/01/2024,16/05/2024,330,NA,NA,11/04/2025,mejora edilicia,2024 - 2027
x126,x329,avda. lafuente 2670,0200859,NA,NA,Planificado,planificado,f11,25/08/2024,23/12/2024,330,NA,NA,18/11/2025,mejora edilicia,2024 - 2027
x127,x255,polideportivo lastra,0200873,"Plan mejoras, solados, canchas, adecuacion sanitarios, cubiertas y pintura",NA,Planificado,planificado,f11,24/05/2024,21/09/2024,360,x,NA,16/9/2025,ampliacion,2024 - 2027
x128,x217,varela 1802   -daom,0200892,Instalacion de gas,"$38.186.303,88",Licitación,licitación,f11,29/09/2023,15/01/2024,120,NA,NA,14/05/2024,mejora edilicia,2024 - 2027
x129,x212,avda. larrazabal 420,0200906,Instalacion electrica,"$105.886.263,20",En Obra,en obra,f11,27/07/2023,24/11/2023,150,NA,5%,22/4/2024,mejora edilicia,2024 - 2027
x130,x304,carhue 2970,0200922,"Mejora de estructura, reparacion de fisuras, revoques y pintura, accesibilidad","$90.000.000,00",Planificado,planificado,f11,14/08/2024,12/12/2024,300,NA,NA,8/10/2025,mejora edilicia,2024 - 2027
x131,x234,riestra 5030,0200949,"Plan mejora en   adecuacion   cocina , comedor ,  cubierta  y reparacion revoques y pintura en areas significativas + evaluacion estado polideportivo.","$160.000.000,00",Planificado,planificado,f11,5/06/2024,3/10/2024,330,NA,NA,29/08/2025,mejora edilicia,2024 - 2027
x132,x297,fangio - larrazabal 4520,0200950,Terreno propio sobrante escuela larrazabal ex beron de astrada 6351,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,remplazo,2024 - 2027
x133,x080,aquino 6040 - region v,0200962,"Instalacion electrica completa, remodelacion de nucleo sanitario en pb y nucleos sanitarios a nuevos en 1 y 2 piso. accesibilida plena (ascensor, solado rampante en gym y baño de disca en 2 piso). ampliacion de 4 aulas (3 jin). pintura. calefaccion.","$569.636.899,00",Licitación,licitación,f11,27/10/2023,1/04/2024,360,x,NA,31/1/2025,mejora edilicia,2024 - 2027
x134,x103,lacarra 1151 y avda. francisco bilbao,0201864,"Fachadas exteriores (desprendimiento de pintura y revoques), humedad en subsuelo y levantamiento de solado, aulas en mal estado (placas de cielorraso faltantes, pinturas con grafitis), patio cubierto con filtración por cubierta de vidrio. baños: filtración, faltante de cerámicos y artefactos de luz. pintura en general.","$270.975.545,54",Licitación,licitación,f11,30/10/2023,27/02/2024,330,x,NA,22/01/2025,mejora edilicia,2024 - 2027
x135,x053,polo saavedra,0202188,Reja,NA,En Proyecto,cyp,f11,5/01/2024,4/05/2024,90,x,NA,2/08/2024,ampliacion,2024 - 2027
x136,x090,dr. antonio bermejo 6675 -modulares,0202391,Adaptacion de modulares en un cfp / acceso independiente / cambiar sanitarios / instalaciones/ aula,"$47.092.855,21",En Obra,en obra,f11,26/06/2023,24/10/2023,180,NA,10%,21/04/2024,mejora edilicia,2024 - 2027
x137,x100,villa olimpica - villa olimpica - jose benjamin zubiaur 4180,0202669,"Sistema de alarma primaria, limpieza de terreno y cortinas. ver posibilidad de incorporar mas tareas.","$414.271.095,70",En Obra,en obra,f11,17/06/2023,1/11/2023,300,x,0%,27/08/2024,mejora edilicia,2024 - 2027
x138,x300,villa olimpica - villa olimpica - 23 de junio 4155,0202669,"Sistema de alarma primaria, limpieza de terreno y cortinas. ver posibilidad de incorporar mas tareas.","$414.271.095,70",Licitación,licitación,f11,17/06/2023,1/11/2023,300,x,NA,27/08/2024,mejora edilicia,2024 - 2027
x145,x307,libertad 581 - 2 etapa,0200007,"Reparacion de revoques, pintura de sector no incluido en pliego",NA,Planificado,planificado,f11,29/11/2024,29/03/2025,360,NA,NA,24/03/2026,mejora edilicia,2024 - 2027
x146,x068,tte. gral. juan domingo peron 1140,0200009,"Adecuacion de cubierta , sanitario ,electricidad , cielorraso , carpinteria.  arreglo de revoques  en aulas y patio .   adecuacion pintura interior de areas significantes  y patio",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x147,x336,avda. pueyrredon 630,0200086,Adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x148,x337,dr. tomas manuel de anchorena 855,0200093,"Adecuacion de sanitarios, pintura, instalacion electrica e incendio",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x149,x380,jean jaures 870,0200094,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x150,x327,bulnes 45,0200106,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x151,x310,avda. san juan 2128,0200142,"Pintura general, adecuacion sanitarios, cubiertas, accesibilidad basica, ampliacion sector polideportivo",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x152,x381,av. larrazabal 5130,0200144,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x153,x228,braun menendez 260/manuel galvez 156,0200177,"Impermeabilización de azoteas. reparación de carpinterías existentes del primer piso con problemas de oxidación. pintura de rejas en planta alta, nivel a y b. reparaciones en fachadas de patio interno en planta baja:pintura y limpieza. intervención de solados – mal estado. demolición de mesadas en dos aulas del nivel inicial. provisión y colocación de bicicletero en el acceso del edificio. trabajos varios de jardinería en canteros. accesibilidad: provisión y colocación de ascensor para comunicar la planta baja y primer piso. ejecución de rampa para salvar un desnivel entre primer piso y la azotea.",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x154,x250,california 1925,0200187,"Plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria  y  pintura en areas significativas",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x155,x225,w villafañe 1342,0200197,"Plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x156,x315,avda. regimiento de patricios 1933,0200214,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x157,x382,cachi 77,0200236,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x158,x309,pichincha 1873,0200246,"Fachadas, pintura general, adecuacion sanitarios, patios, instalacion electrica y calefaccion",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x159,x383,prof. dr. pedro chutro 3380,0200249,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x160,x384,av. montes de oca 121,0200254,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x161,x240,la rioja 1846,0200295,"Muros, patio, carpinteria, inst electrica, prov agua, acc basica y pintura. catalogacion?",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x162,x331,avda. jujuy 150,0200318,"Fachadas, reparacion de humedad de cimientos, carpinterias, pintura general, adecuacion de instalacion electrica y reparacion fltraciones",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x163,x385,av. jujuy 255,0200322,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x164,x386,venezuela 3259,0200332,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x165,x387,av boedo 1935,0200344,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x166,x338,avda. corrientes 5332,0200353,"Plan mejora en   fachad , medianeras, adecuacion   inst electrica , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x167,x247,julian alvarez 123,0200376,Instalación electrica y pintura,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x168,x388,gral. martin de gainza 1050,0200381,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x169,x389,av. la plata 623,0200407,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x170,x390,av. pedro goyena 984,0200410,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x171,x245,senillosa 650,0200430,Plan mejora de patio+terrazas +acond sanitarios+ prov agua+acc plena+ electrica y pintura en areas significativas,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x172,x236,libertador 4903,0200461,Adecuacion de fachada+  patios + muros+carpinterias+   inst electrica + inst gas-calefacc y pintura en areas significativas evaluar posible mejora en pileta -instalaciones-. catalogación.,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x173,x391,nicaragua 5732,0200474,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x174,x368,scalabrini ortiz 2760 - reemplazo cordoba,0200475,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x175,x348,güemes 4059,0200476,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x176,x392,conesa 1855,0200521,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x177,x096,natatorio romero brest -avda. miguel sanchez 1050,0200523,Adecuacion de pileta y sus instalaciones plan mejora de patio+muros+acond gas-electricidad+ sanitarios y pintura en areas significativas,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x178,x224,miguel sanchez 1050,0200523,"Plan mejora en   adecuacion   inst electrica, gas  , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x179,x333,avda. monroe 3061,0200526,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x180,x325,avda. cramer 2136,0200527,"Adecuacion sanitarios, pintura integral donde no se hizo sdf, mejora de cubierta en sum y patio",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x181,x393,gral. eugenio garzon 3950,0200565,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x182,x330,mariano acosta 1071,0200579,"Adecuacion de sanitarios, pintura, instalacion electrica e incendio",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x183,x394,caracas 10,0200585,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x184,x365,san blas 2962,0200590,"Plan mejora en   adecuacion   inst electrica, cielorraso  , patio , muros ,carpinteria, cubierta  y  pintura en areas significativas",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x185,x339,camarones 3559,0200610,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x186,x342,chascomus 5598,0200620,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x187,x395,cnel. ramon l. falcon 4801,0200624,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x188,x358,miralla 2666,0200627,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x189,x299,dellepiane 4750 / castañares 4689,0200633,"Adecuacion de instalacion electrica, cubiertas y carpinterias",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x190,x221,murguiondo 1568,0200642,"Plan mejora en   adecuacion  patio, inst gas-calefaccion ,electricidad  y  pintura en areas significativas",NA,Planificado,planificado,f11,18/06/2024,16/10/2024,270,NA,NA,13/7/2025,mejora edilicia,2024 - 2027
x191,x253,roseti 1450,0200658,"Plan mejora en   adecuacion   cocina , comedor ,  cubierta  y reparacion revoques y pintura en areas significativas + evaluacion estado polideportivo. acustizar comedor.",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x192,x328,alvarez jonte 1964,0200669,"Cubiertas, pintura general, carpinterias, humedad ascendente, inst agua, adecuacion electrica y ademas ver informe ingeniero sobre posible ampliacion",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x193,x396,bolivia 2569,0200676,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x194,x397,boyaca 2152,0200689,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x195,x303,av. triunvirato 4247,0200715,Reparacion de cubierta (fondos covid),NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x196,x306,tronador 4134,0200728,"Reparación de humedad de cimientos, reparación de las mamposterías afectadas y pintura integral. impermeabilización de cubiertas, en sector con filtraciones y respiración de cielorrasos.
Acondicionamiento de baños",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x197,x229,nahuel huapi 5740,0200745,"Adecuacion  inst  gas-calefaccion, patio , muros ,cubierta, acesibilidad basica, pintura  + salida independiente para inicial",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x198,x398,mercedes 4966,0200747,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x199,x399,mercedes 4966,0200747,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x200,x349,helguera 3228,0200769,"Adecuacion de sanitarios, pintura, cubierta, electrica",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x201,x400,argerich 2849,0200770,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x202,x401,cnel. pedro calderon de la barca 3053,0200773,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x203,x402,av. salvador maria del carril 4957,0200784,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x204,x263,avda. alvarez jonte 4651,0200807,"Plan mejora cubiertacon impermeabilizacion, pintura y reparacion de revoques y cielorrasos, acondicionamiento de instalacion electrica y calefaccion",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x205,x403,yerbal 4965,0200810,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x206,x346,gallardo 149,0200827,"Instalacion electrica, accesibilidad, pintura , patios",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x207,x404,san blas 5387,0200828,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x208,x356,magariño cervantes  5068,0200832,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x209,x219,mariano acosta 2976,0200864,"Mejora edilicia, reparacion de cubiertas, adecuacion de instalaciones sanitarias, electricas y pluvial. reparacion de muros y pintura integral",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x210,x216,mariano acosta 2936,0200873,Plan mejora de  patio+ inst gas-calefaccion + cubierta  y reparacion de revoques y pintura en areas significativas,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x211,x405,garcia de cossio 5570,0200909,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x212,x359,montiel 1174 - reemplazo en terreno nuevo,0200920,Obra nueva reemplazo inicial montiel 1174,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x213,x354,jose ignacio rucci 3961,0200952,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x214,x305,soldado de la frontera 5155,0200964,"Sanitarios, cubierta, pintura general",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x215,x406,piedras 1430,0200965,NA,NA,Planificado,planificado,NA,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x218,x370,soler 3929,0200078,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x219,x060,avda. san juan 2277,0200136,Proyecto de accesibilidad y pintura general. agregar impermeabilización. expediente: construccion de galeria en patio para paso (jardin),NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
