cui,distrito,nombre_establecimiento,domicilio_edificio,numero_escuela
0200304,6,EPC N° 13 BRIG. GRAL. JOSE M. ZAPIOLA - JIN B (EPCJC 13/06°) MAESTRO F. REYES - EPA N° 13 BRIG.GRAL. JOSE MATIAS ZAPIOLA,GRAL. URQUIZA 227,13-13-13
0200305,6,JIC N° 04/06° MARIANO BOEDO - EPC N° 14 INTENDENTE ALVEAR,CASTRO BARROS 965,04-14
0200307,6,EPC N° 17 LUIS JOSE CHORROARIN,CARLOS CALVO 2827,17
0200308,6,CENS N° 15 - EPC N° 18 DR. ANTONIO BERMEJO,AVDA. BELGRANO 3767,15-18
0200309,6,EPC N° 22 MARTINA SILVA DE GURRUCHAGA - EPA N° 22 MARTINA SILVA DE GURRUCHAGA,AVDA. BOEDO 657,22-22
0200310,6,JIN C (EPCJS 25/06°) - EPC N° 25 PAULA ALBARRACIN DE SARMIENTO - ESCUELA DE MAESTROS ([A] 02),TARIJA 4136,25-25-02
0200311,6,EPA N° 26 REPUBLICA DE COLOMBIA - EPC N° 26 REPUBLICA DE COLOMBIA,AVDA. JUAN DE GARAY 3972,26-26
0200312,6,Museo Bernasconi - ESC. PRIMARIA COMÚN N° 91 DR. CARLOS SAAVEDRA LAMAS - INST. F. F. BERNASCONI - EPA N° 02 - ESC. PRIMARIA COMÚN N° 94 ENRIQUE BANCHS - INST. F. F. BERNASCONI - JIC N° 05/06° - ESC. PRIMARIA COMÚN N° 92 DR. RAFAEL BIELSA - INST. F. F. BERNASCONI - ESC. PRIMARIA COMÚN N° 93 DR. JUAN ANGEL GOLFARINI - INST. F. F. BERNASCONI - ESC. DE CORO Y ORQUESTA ATHOS PALMA - CENS N° 72 - JII N° 10 FRANCISCO PASCASIO MORENO - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 05,RONDEAU 2751,91-02-94-05-92-93-72-10-05
0200313,6,ESC. DE COM.  N° 22 G.A.MARTINEZ ZUVIRIA,CONSTITUCION 4154,22
0200315,6,JII N° 01/06°,HUMBERTO I° 2861,01
0200316,6,JII N° 02/06° FEDERICO FROEBEL,AVDA. INDEPENDENCIA 3354,02
0200317,6,Sup Inicial I B - JII N° 08/06° M.A.SCHIAVONI DE LOPEZ,AVDA. BOEDO 650,08
0200318,6,LICEO N° 10 RICARDO ROJAS - BOA N° 04 XUL SOLAR,AVDA. JUJUY 150,10-04
0200319,6,ESC. TEC. N° 11 MANUEL BELGRANO,COCHABAMBA 2830,11
0200320,6,ESC. TEC.  N°25 TTE.1° DE ARTILLERIA F.L.BELTRAN,AVDA. JUJUY 780,25-1
0200322,6,ESC. TEC. N° 26 CONFEDERACION SUIZA,AVDA. JUJUY 255,26
0200323,6,ESC. TEC. N° 29 RECONQUISTA DE BUENOS AIRES,AVDA. BOEDO 760,29
0200324,6,ENS N°02 EN LENGUAS VIVAS MARIANO ACOSTA - IES MARIANO ACOSTA - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 06,GRAL. URQUIZA 277,02-06
0200325,6,ENS N° 08 PRESIDENTE J.A. ROCA (SEDE),LA RIOJA 1042,08
0200326,6,ENS N° 08 PRESIDENTE J.A. ROCA ([A]),CARLOS CALVO 3150,08
0200327,6,ENS N° 11 DR. RICARDO LEVENE,DEAN FUNES 1821,11
0200328,6,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 09 DR L R MAC KAY",CARLOS CALVO 3176,09
0200329,6,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 36 DR. AURELIO MARTÍNEZ,GRAL. URQUIZA 2159,36
0200330,6,ESC. INTEGRAL INTERDISCIPLINARIA N° 06,INCLAN 3146,06
0200331,6,CFP N°8 SMATA,MAZA 851,8
0200332,6,CENOF Venezuela,REPÚBLICA BOLIVARIANA DE VENEZUELA 3259,
0200333,6,CAIYJ CLUB SAN CRISTOBAL,DEAN FUNES 1360,
0200334,6,EPC N° 15 MAESTRO JORGE LUIS CHINETTI - IFTS N° 26,ESTADOS UNIDOS 3141,15-26
0200335,6,JM N° 07/06° DELFINA MARULL DE SARDA,CATULO CASTILLO 2852,07
0200342,6,Sup Educ Adulto y Adolesc  Sector I - Sup Educ Adulto y Adolesc  Sector III - CENS N° 06 - CENS N° 31,SAAVEDRA 15,06-31
0200343,6,JIC Nº12 DE 06 - EPC N° 08 ALMAFUERTE,MAZA 1913,12-06-08
0200344,6,EPC N° 23 PROVINCIA DE ENTRE RIOS,AVDA. BOEDO 1935,23
0200345,6,Sup Primaria DE06 A Sup Adultos Region II A,HUMBERTO 1° 3187,06
0200353,7,EPA N° 01 T. DE LA QUINTANA DE ESCALADA - JIN A (EPCJC 01/07°) [S] - EPC N° 01 T. DE LA QUINTANA DE ESCALADA,AVDA. CORRIENTES 5332,01-01-01
0200354,7,EPC N° 02 FRANCISCO DESIDERIO HERRERA - CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 4 - JIN A (EPCJS 02/07°),CAMARGO 725,02-4-02
0200356,7,EPA N° 04 PRES. DR. ARTURO UMBERTO ILLIA - EPC N° 04 PRES. DR. ARTURO UMBERTO ILLIA - JIC N° 03/07° LA PORTEÑA,AVDA. RIVADAVIA 6065,04-04-03
0200357,7,EPC N° 05 JUAN B. PEÑA - JIN C (EPCJC 05/07°),MANUEL RICARDO TRELLES 948,05-05
0200358,7,EPC N° 06 DELFIN JIJENA,OLAYA 1565,06
0200359,7,EPC N° 08 PROVINCIA DE SAN JUAN - JIC N° 04/07° - ESC. DE MUSICA N° 11,CNEL. APOLINARIO FIGUEROA 1077,08-04-11
0200360,7,JIN C (EPCJC 09/07°) - EPC N° 09 JAPON,SANCHEZ 1858,09-09
0200361,7,JIN D (EPCJC 11/07°) - EPC N° 11 JOSE IGNACIO GORRITI,NICASIO OROÑO 1431,11-11
0200362,7,EPC N° 12 FACUNDO ZUVIRIA - JIN C (EPCJC 12/07°) [S] - CECIE N° 07,FRANKLIN 1836,12-12-07
0200363,7,EPC N° 13 LEOPOLDO MARECHAL - JIN C (EPCJS 13/07°),GALICIA 1857,13-13
0200364,7,EPC N° 14 DR. ERNESTO E. PADILLA,FELIPE VALLESE 835,14
0200365,7,EPC N° 15 GRAL. JOSE GERVASIO DE ARTIGAS - JINB(EPCJC 15/07°)LA VELETA DE CABALLITO,DR. ELEODORO LOBOS 437,15-15
0200366,7,Sup Primaria DE07 - EPA N° 16 ANDRES FERREYRA - EPC N° 16 ANDRES FERREYRA - JII N° 06/07° - CAIYJ CLUB CABALLITO,CNEL. APOLINARIO FIGUEROA 651,07-16-16-06
0200367,7,EPC N° 17 FRANCISCO DE VITORIA - CENS N° 33 LEOPOLDO MARECHAL - JIN A (EPCJC 17/07°),JULIAN ALVAREZ 240,17-33-17
0200368,7,JIN C (EPCJS 18/07°) - EPC N° 18 COMODORO CLODOMIRO URTUBEY,ALEJANDRO MAGARIÑOS CERVANTES 1556,18-18
0200369,7,EPC N° 19 GALICIA,LUIS VIALE 1046,19
0200370,7,EPC N° 20 TTE. BENJAMIN MATIENZO - JINB(EPCJS 20/07)VELETA DE CABALLITO [S] - CECIE N° 22,HIDALGO 635,20-20-22
0200371,7,JIN D (EPCJS 21/07°) - EPC N° 21 EMILIO RAUL OLIVE,ROJAS 1554,21-21
0200372,7,JIN A (EPCJS 22/07°) - EPC N° 22 DR. ROMULO S. NAON,ARAOZ 234,22-22
0200373,7,EPA N° 23 GRAL. BELGRANO - JIN D (EPCJC 23/07°) [S] - EPC N° 23 GRAL. BELGRANO - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 06,PRINGLES 263,23-23-23-06
0200374,7,CENS N° 19 - EPC N° 24 VIRGEN GENERALA - JINB(EPCJC 24/07°)LA VELETA DE CABALLITO,JOSE JUAN BIEDMA 459,19-24-24
0200375,7,EPC N° 25 REPUBLICA DE GUATEMALA,MENDEZ DE ANDES 1451,25
0200376,7,ESC. DE COM. N° 16 GABRIELA MISTRAL,JULIAN ALVAREZ 123,16
0200377,7,JIC N° 02/07° PROF. M. MARGARITA RAVIOLI - EPC N° 03 PRIMERA JUNTA,CAMPICHUELO 100,02-03
0200378,7,JM N° 05/07° JACARANDA,JUAN B. AMBROSETTI 699,05
0200379,7,Sup Inicial III A - JII N° 01/07° ANDRES FERREYRA,AVDA. DIAZ VELEZ 4659,01
0200380,7,ESC. DE COM. N° 23 DR. LUIS AGOTE - EC N° 29 MARINA MERCANTE ARGENTINA - COLEGIO N° 17 PRIMERA JUNTA - CAIYJ CLUB PRIMERA JUNTA,AVDA. RIVADAVIA 5161,23-29-17
0200381,7,ESC. TEC. N° 09 ING. LUIS A. HUERGO - CAIYJ CLUB HUERGO,GRAL. MARTIN DE GAINZA 1050,09
0200382,7,IFTS N° 07 - ESC. DE COM. N° 03 HIPOLITO VIEYTES,AVDA. GAONA 1502,07-03
0200383,7,CENS N° 57 - ESC. SUPERIOR DE ENFERMERÍA DRA. CECILIA GRIERSON SEDE,JUAN B. AMBROSETTI 601,57
0200385,7,EEM N° 03/07°,PADILLA 1051,03
0200396,7,EEM N° 01/07 JULIETA LANTERI,YERBAL 25,01
0200397,7,EPC N° 10 ARQ. MARIO JOSE BUSCHIAZZO - JINB(EPCJS 10/07°)LA VELETA DE CABALLITO,FELIPE VALLESE 975,10-10
0200398,2,Polideportivo Colegio N° 03 M.Moreno,BACACAY 650,03
0200400,8,EPC N° 01 CHACABUCO - JII N° 01/08° CIUDAD DE BUENOS AIRES - CENS N° 30,AVDA. EVA PERON 1502,01-01-30
0200401,8,EPC N° 02 TOMAS SANTA COLOMA,SANTANDER 1150,02
0200402,8,Centro Cultural Sebastián Piana - EPC N° 03 DR. MANUEL A. MONTES DE OCA,PUAN 360,03
0200403,8,CONSERVATORIO SUPERIOR DE MÚSICA MANUEL DE FALLA - ANEXO 1 - EPC N° 04 ORG. DE LOS ESTADOS AMERICANOS - JINE(EPCJC 04/08)TRANVIA DE CABALLITO[S],DEL BARCO CENTENERA 747,1-04-04
0200404,8,JIN B (EPCJS 06/08°) [S] - EPC N° 06 SAN JOSE DE CALASANZ - EPA N° 06 SAN JOSE DE CALASANZ,AVDA. LA PLATA 1038,06-06-06
0200405,8,EPC N° 07 NIÑAS DE AYOHUMA - JIC N° 05/08° MARTHA A. SALOTTI - IFTS N° 27,AVDA. ASAMBLEA 1221,07-05-27
0200406,8,JIN B (EPCJS 08/08°) - EPA N° 08 ANTONIO SCHETTINO - EPC N° 08 ANTONIO SCHETTINO,AVDA. JOSE MARIA MORENO 480,08-08-08
0200407,8,Sup Primaria DE08 - CENS N° 52 - JIN A (EPCJC 09/08°) - EPC N° 09 FLORENTINO AMEGHINO,AVDA. LA PLATA 623,08-52-09-09
0200408,8,EPC N° 10 JUAN AGUSTIN MAZA,CACHIMAYO 1657,10
0200409,8,IFTS N° 13 - EPC N° 11 PRES. MARCELO T. DE ALVEAR - JIN A (EPCJC 11/08°) [S],AVDA. JUAN BAUTISTA ALBERDI 163,13-11-11
0200410,8,EPA N° 14 JOAQUIN VICTOR GONZALEZ - EPC N° 14 JOAQUIN VICTOR GONZALEZ - JINE(EPCJS 14/08°) TRANVIA DE CABALLITO,AVDA. PEDRO GOYENA 984,14-14-14
0200411,8,JIC N° 03/08° - EPC N° 15 PROVINCIA DE SALTA,SARAZA 1353,03-15
0200412,8,JIN A (EPCJS 16/08°) - EPC N° 16 JOSE MARIA RAMOS MEJIA - CENOF CENTRO DON BOSCO - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 07,DON BOSCO 4200,16-16-07
0200413,8,EPC N° 17 PROF. RAUL L. BERNARDELLI - CENS N° 22,ESTRADA 627,17-22
0200414,8,EPC N° 20 ELOY FERNANDEZ ALONSO - JIN C (EPCJS 20/08°),MUÑIZ 2147,20-20
0200415,8,EPC N° 21 JUAN JOSE PASO - JIN C (EPCJS 21/08°),BEAUCHEF 1869,21-21
0200416,8,EPC N° 22 ANTONIO ABRAHAM ZINNY - CECEP N° 08 - CECIE N° 08,SALAS 565,22-08-08
0200417,8,EPC N° 23 CANADA - CENS N° 68,CACHIMAYO 1735,23-68
0200418,8,EPC N° 24 DR. FLORIAN OLIVER - CENS N° 05 ([A] 2) - JIN C (EPCJC 24/08°) [S] - CAEBYT N° 36 - CAEBYT N° 28 - CENOF CENTRO SARAZA,SARAZA 470,24-05-2-24-36-28
0200419,8,ESCUELA INF. N° 04/08°,VICTOR MARTINEZ 1780,04
0200420,8,BOA N° 01 ANTONIO BERNI - COLEGIO N° 10 JOSE DE SAN MARTIN,QUITO 4045,01-10
0200421,8,CFP N° 06 CIFP P/ADOLES. (CIFPA),AVDA. ASAMBLEA 153,06
0200422,8,Sup Inicial IV A - JII N° 02/08° JORGE EDUARDO COLL,HIPOLITO YRIGOYEN 4238,02
0200423,8,ESC. INTEGRAL INTERDISCIPLINARIA N° 08 LUIS VERNET,HORTIGUERA 742,08
0200425,8,LICEO N° 12 FRAY MAMERTO ESQUIU,AVDA. JOSE MARIA MORENO 345,12
0200426,8,ESPACIO PRIMERA INFANCIA ESC. DE COM. N° 19 - ESC. DE COM. N° 19 JUAN MONTALVO - ESEA DANZA MASTRAZZI DANZA JUV. N°02,FORMOSA 136,19-19-02
0200427,8,ENS N°04 ESTANISLAO SEVERO ZEBALLOS - LICEO N° 02 AMANCIO ALCORTA,AVDA. RIVADAVIA 4950,04-02
0200428,8,ISEF N° 02 PROF. FEDERICO W. DICKENS,AVDA. CURAPALIGÜE 1150,02
0200429,8,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 01 ALFONSINA STORNI",EMILIO MITRE 1087,01
0200430,8,EEE N° 33 SANTA CECILIA,SENILLOSA 650,33
0200431,8,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON DISCAPACIDAD VISUAL N° 35 JOSÉ MANUEL ESTRADA",AVDA. JUAN BAUTISTA ALBERDI 1083,35
0200432,8,CFP N°11,CARLOS SPEGAZZINI 450,11
0200440,9,JIN C (EPCJC 01/09°) - EPC N° 01 REPUBLICA DE CUBA,COSTA RICA 4942,01-01
0200441,9,JIC N° 03/09° LEOPOLDO MARECHAL - EPC N° 02 AUSTRALIA - IFTS N° 20,AGUIRRE 752,03-02-20
0200442,9,JIN B (EPCJC 03/09°) - EPC N° 03 JUANA MANSO - CECIE N° 09,ZAPATA 449,03-03-09
0200443,9,EPC N° 04 PROVINCIA DE CORDOBA,AVDA. RAUL SCALABRINI ORTIZ 1336,04
0200444,9,JII N° 05/09° - EPC N° 05 HON. CONGRESO DE LA NACION - CECEP N° 09 ([A]),AVDA. DEL LIBERTADOR 4777,05-05-09
0200445,9,JII N° 06/09° - EPC N° 06 VICENTE FIDEL LOPEZ - EPA N° 06 VICENTE FIDEL LOPEZ,AVDA. SANTA FE 5039,06-06-06
0200446,9,EPC N° 07 MARCOS SASTRE - JIN A (EPCJC 07/09°),VIRREY LORETO 3050,07-07
0200447,9,JIN A (EPCJC 08/09°) - EPC N° 08 ARMENIO-ARGENTINA,ARCE 611,08-08
0200448,9,JINB(EPCJC 09/09°)[S]JARD.DE LOS PUENTES - EPC N° 09 JUAN CRISOSTOMO LAFINUR,GORRITI 5740/5744,09-09
0200449,9,JIN A (EPCJS 10/09°) [S] - EPC N° 10 MANUEL LAINEZ - ESCUELA DE MAESTROS ([A] 11),OLLEROS 2325,10-10-11
0200450,9,EPC N° 11 MANUELA PEDRAZA,MALABIA 2252,11
0200451,9,EPC N° 12 MARISCAL DEL PERU R.CASTILLA,CONDE 943,12
0200452,9,JIC N° 07/09° EL JARDIN DE LAS GLICINAS - EPC N° 13 RAUL SCALABRINI ORTIZ - CECEP N° 09 (SEDE),CONDE 223,07-13-09
0200453,9,JIN D (EPCJC 14/09°) [S] - EPC N° 14 PROVINCIA DE RIO NEGRO - CENOF CENTRO AREVALO,AREVALO 1408,14-14
0200454,9,JIN B (EPCJS 15/09°) - EPC N° 15 CAP. GRAL. BERNARDO O'HIGGINS - EPA N° 15 CAP. GRAL. BERNARDO O'HIGGINS,AVDA. FEDERICO LACROZE 2971,15-15-15
0200455,9,EPC N°16 CAP.DE FRAGATA CARLOS M.MOYANO - EPA N° 16 CAP.DE FRAGATA CARLOS M.MOYANO,MOLDES 1102,16-16
0200456,9,CAI N° 17 DE 09 - JII N° 04/09° - EPC N° 17 BLAS PARERA - EPA N° 17 BLAS PARERA,PARAGUAY 4301,17-09-04-17-17
0200457,9,EPC N° 18 YAPEYU - JIN D (EPCJC 18/09°) - ESC. DE MUSICA N° 08,MALABIA 964,18-18-08
0200458,9,JIN D (EPCJS 19/09°) - EPC N° 19 PROVINCIA DEL CHUBUT - CAIYJ CHACARITA,HUMBOLDT 742,19-19
0200459,9,JIN C (EPCJC 20/09°) [S] - EPC N° 20 CARLOS MARIA BIEDMA - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 09,GUEMES 4610,20-20-09
0200460,9,JIN C (EPCJS 23/09°) - EPC N° 23 DR. JOSE MARIA BUSTILLO - EPA N° 23 DR. JOSE MARIA BUSTILLO,THAMES 1361,23-23-23
0200461,9,EPC N° 30 GRANADEROS DE SAN MARTIN - JIC N° 02/09° GRANADEROS DE SAN MARTIN - ESCUELA DE MAESTROS ([A] 07),AVDA. DEL LIBERTADOR 4903,30-02-07
0200462,9,Sup Inicial IX A - JIC N° 09/09°,MOLDES 1220,09
0200464,9,JII N° 01/09° DR. ALFREDO PALACIOS,URIARTE 2235,01
0200465,9,ESPACIO PRIMERA INFANCIA COLEGIO N°04 - COLEGIO N° 04 NICOLAS AVELLANEDA - CAIYJ CLUB AVELLANEDA,EL SALVADOR 5528,04-04
0200466,9,ESC. DE COM. N° 31 NACIONES UNIDAS - IFTS N° 03 - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 04,ANGEL JUSTINIANO CARRANZA 2045,31-03-04
0200467,9,CENS N° 38 - IFTS N° 22 - ESC. TEC. N° 02 OSVALDO MAGNASCO,AVDA. SANTA FE 3727,38-22-02
0200468,9,ESC. TEC. N° 03 MARIA SANCHEZ DE THOMPSON,AVDA. CABILDO 40,03
0200469,9,Sup Media Region VIII A Sup Media Tecnica Region VIII - ESC. TEC. N° 34 ING. ENRIQUE MARTIN HERMITTE,LOYOLA 1500,34
0200470,9,EEM N° 07/09° MARIA CLAUDIA FALCONE,MALABIA 2148,07
0200471,9,ESC. TEC. DE JARDINERIA CRISTOBAL M. HICKEN,AVDA. GRAL. LAS HERAS 4078,
0200472,9,INST. SUPERIOR DEL PROF. DE EDUC. INICIAL SARA CHAMBERLAIN DE ECCLESTON (SEDE),AVDA. DORREGO 3751,
0200473,9,CENTRO EDUCATIVO PARA NIÑOS EN TIEMPOS Y ESPACIOS SINGULARES N° 02,JUAN FRANCISCO SEGUI 3755,02
0200474,9,"ESC. PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 04 DR. RAFAEL  ARCONE",NICARAGUA 5732,04
0200475,9,ESC. PARA NIÑOS Y NIÑAS CON SEVEROS TRASTORNOS DE LA PERSONALIDAD N° 17 ARMINDA ABERASTURY,RAUL SCALABRINI ORTIZ 2760,17
0200476,9,ESC. PARA NIÑOS Y NIÑAS CON DISCAPACIDAD MENTAL N° 25 MACACHA GÜEMES,GUEMES 4059,25
0200477,9,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON PLURIDISCAPACIDAD N° 26 DR. JORGE GARBER",DARREGUEYRA 2460,26
0200478,9,"ESC. DOMICILIARIA PARA NIÑOS, NIÑAS Y JÓVENES CON DISCAPACIDAD N° 08",BONPLAND 1314,08
0200479,9,ESC. INTEGRAL INTERDISCIPLINARIA N° 09,LA PAMPA 1240,09
0200480,9,JM N° 08/09° ABRIENDO CAMINOS,BONPLAND 1324,08
0200487,9,Superv.Educ.Prim.Zona E Región IX-DE 09,GUEMES 4615,09
0200491,9,INST. SUPERIOR DEL PROF. DE EDUCACIÓN INICIAL SARA CHAMBERLAIN DE ECCLESTON - JIC MITRE,AVDA. DORREGO 3723,
0200496,10,EPC N° 01 CASTO MUNITA - JIC N° 03/10° [A] - CENOF CENTRO CUBA - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 09,CUBA 2039,01-03-09
0200497,10,Superv.Educ.Prim. Zona E Región IX-DE10 - EPC N° 03 ESTEBAN ECHEVERRIA,MOLDES 1854,10-03
0200498,10,EPC N° 04 CNEL. C. F. BRANDSEN - JIN C (EPCJS 04/10°),JUANA AZURDUY 2541,04-04
0200499,10,EPC N° 05 JUAN BAUTISTA ALBERDI - JIC N° 03/10° SEDE - CECIE N° 10,MOLDES 2043,05-03-10
0200500,10,EPC N° 06 MANUEL DORREGO,BESARES 2990,06
0200501,10,Sup Inicial IX B - EPC N° 07 MANUEL J. GARCIA - CENOF CENTRO CABILDO - JM N° 07/10°,AVDA. CABILDO 3615,07-07
0200502,10,EPC N° 08 ALTE. RAMON GONZALEZ FERNANDEZ - JII N° 04/10°,MENDOZA 1000,08-04
0200503,10,JIN A (EPCJS 09/10°) [S] - EPC N° 09 EVARISTO JULIO BADIA,O'HIGGINS 3050,09-09
0200504,10,JIN A (EPCJC 10/10°) - EPC N° 10 JOAQUIN MARIA CULLEN,11 DE SEPTIEMBRE DE 1888 3451,10-10
0200505,10,EPC N° 11 PRIMER MINISTRO INDIRA GANDHI - JIN D (EPCJC 11/10°),AVDA. INTENDENTE CANTILO Y LA PAMPA,11-11
0200506,10,JIC N° 09/10° - EPC N° 12 PROF. RODOLFO SENET - CENS N° 81,AVDA. CRAMER 3271,09-12-81
0200507,10,JIN E (EPCJS 13/10°) - EPC N° 13 RICARDO MONNER SANS,RUIZ HUIDOBRO 2643,13-13
0200508,10,EPC N°14 FRAY MARTIN DEL BARCO CENTENERA - JIC Nº 10 DE 10,ROQUE PEREZ 3545,14-10-10
0200509,10,JIC N° 05/10° PABLO PICASSO - EPA N° 15 PROVINCIA DE SANTA FE - EPC N° 15 PROVINCIA DE SANTA FE,PICO 2689,05-15-15
0200510,10,EPC N° 16 REPUBLICA DOMINICANA - JIN C (EPCJS 16/10°) - EPA N° 16 REPUBLICA DOMINICANA,AVDA. CONGRESO 3045,16-16-16
0200511,10,EPC N° 17 DR. JUAN BALESTRA,ARCOS 2440,17
0200512,10,EPC N° 18 JOSE HERNANDEZ,LA PAMPA 3855,18
0200513,10,EPA N° 19 PABLO A. PIZZURNO - EPC N° 19 PABLO A. PIZZURNO - JIN C (EPCJS 19/10°) [S],AVDA. MONROE 3000,19-19-19
0200514,10,JIN A (EPCJS 20/10°) - EPC N° 20 VICEALM. VICENTE E. MONTES - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL JUVENIL N° 10,AVDA. CONGRESO 1553,20-20-10
0200515,10,EPC N° 21 CNEL. CORNELIO SAAVEDRA - JIN E (EPCJC 21/10°) [S],PINTO 3910,21-21
0200516,10,JIN D (EPCJC 22/10°) [S] - EPC N° 22 REMEDIOS DE ESC. DE SAN MARTIN,FRANKLIN DELANO ROOSEVELT 1510,22-22
0200517,10,EPC N° 23 JOSE CLEMENTE PAZ - JIN D (EPCJS 23/10°) - EPA N° 23 JOSE CLEMENTE PAZ,MCAL. ANTONIO JOSE DE SUCRE 1367,23-23-23
0200518,10,EPC N° 25 REPUBLICA DE TURQUIA - EPA N° 25 REPUBLICA DE TURQUIA - CENS N° 53 - JII N° 02/10° MERCEDITAS - CAI SAAVEDRA MITRE - PI NUEVE LUNAS,AVDA. RUIZ HUIDOBRO 3853,25-25-53-02
0200519,10,CFP N° 07,RAMSAY 2250,07
0200520,10,JII N° 01/10° ATHOS PALMA,MCAL. ANTONIO JOSE DE SUCRE 2284,01
0200521,10,LICEO N° 09 SANTIAGO DERQUI,CONESA 1855,09
0200523,10,INST. SUPERIOR DE DEPORTES - EEM N° 03/10° - INST. SUPERIOR DE EDUCACIÓN FÍSICA N° 01 DR. ENRIQUE ROMERO BREST,AVDA. MIGUEL SANCHEZ 1050,03-01
0200524,10,ESC. INTEGRAL INTERDISCIPLINARIA N° 10 ALFÉREZ DE NAVÍO JOSÉ MARÍA SOBRAL,O'HIGGINS 3401,10
0200525,10,COLEGIO N° 08 JULIO ARGENTINO ROCA,CARLOS E. ZUBERBÜHLER 1850,08
0200526,10,ESC. DE COM. N° 07 MANUEL BELGRANO - PI EL MUNDO DEL REVÉS - EEM N° 02/10° E.REINGRESO,AVDA. MONROE 3061,07-02
0200527,10,EEM N° 05/10° HEROES DE MALVINAS,AVDA. CRAMER 2136,05
0200528,10,ESC. TEC.S RAGGIO,AVDA. DEL LIBERTADOR 8635,
0200529,10,ESC. TEC. N° 21 FRAGATA ESCUELA LIBERTAD,NUÑEZ 3620,21
0200530,10,ESC. TEC. N° 28 REPUBLICA FRANCESA,CUBA 2410,28
0200531,10,CBFO N° 03 OLGA COSSETTINI,JURAMENTO 2945,03
0200532,10,ENS N° 10 JUAN BAUTISTA ALBERDI (SEDE),O'HIGGINS 2441,10
0200533,10,ENS N° 10 JUAN BAUTISTA ALBERDI ([A]) - CAIYJ CLUB BELGRANO / NUÑEZ,3 DE FEBRERO 2463,10
0200542,10,ET Raggio (anexo: Polideportivo),LA CACHILA 8631,
0200549,11,CENS N° 09 - EPC N° 01 JOSE ALFREDO FERREIRA - JIN B (EPCJC 01/11°) - CAIYJ VELEZ SARSFIELD - PI LUCERITOS,CNEL. RAMON L. FALCON 4126,09-01-01
0200550,11,JIN B (EPCJC 02/11°) - EPC N° 02 MAXIMIO S. VICTORIA,CNEL. RAMON L. FALCON 4151,02-02
0200551,11,JIN B (EPCJC 03/11°) - EPA N° 03 ANGELA M. DE CAVIGLIA - EPC N° 03 ANGELA M. DE CAVIGLIA,MARIANO ACOSTA 45,03-03-03
0200552,11,EPC N° 04 BENJAMIN ZORRILLA - JIC N° 02/11°,AVDA. SAN PEDRITO 1415,04-02
0200553,11,JIN C (EPCJS 05/11°) HERMINIA BRUMANA - EPC N° 05 ALBINA GARCIA DE RYAN,PORTELA 734,05-05
0200554,11,EPA N° 06 DR. CARLOS VAZ FERREIRA - EPC N° 06 DR. CARLOS VAZ FERREIRA,AVDA. VARELA 1040,06-06
0200555,11,JIN D (EPCJS 07/11°) SIN FRONTERAS - EPC N° 07 TTE. MANUEL FELIX ORIGONE,PUMACAHUA 1247,07-07
0200556,11,JIN C (EPCJS 08/11°) HERMINIA BRUMANA - EPC N° 08 CNEL.ING.PEDRO ANTONIO CERVIÑO,VARELA 358,08-08
0200557,11,JIN C (EPCJC 09/11°) HERMINIA BRUMANA - EPC N° 09 JOSE MARIA PAZ - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 11,CNEL. RAMON L. FALCON 2934,09-09-11
0200558,11,JINC (EPCJC 10/11°) [S] HERMINIA BRUMANA - EPC N° 10 ING. OCTAVIO S. PICO - CECIE N° 11,AVDA. LAFUENTE 559,10-10-11
0200559,11,EPC N° 11 DR. PEDRO GOYENA - JINA (EPCJC 11/11°) BALDOMERO F. MORENO,GREGORIO DE LAFERRERE 3624,11-11
0200560,11,EPC N° 12 RECONQUISTA - CENOF CENTRO VARELA - ESC. PRIM. 12/11°,AVDA. VARELA 753,12-12
